Place,Province,Start date,Population,"lat,lng",,,,,,,,
Wuhan,Hubei,2020/1/23,"11,081,000","30.58203,114.02919",,,,,,,,
Xiaogan,Hubei,2020/1/24,"4,920,000","30.91677,113.91049",,,,,,,,
Huanggang,Hubei,2020/1/23,"6,330,000","30.43472,114.88005",,,,,,,,
Jingzhou,Hubei,2020/1/24,"5,590,200","30.35269,112.19016",,,,,,,,
Ezhou,Hubei,2020/1/23,"1,077,700","30.40057,114.89171",,,,,,,,
Suizhou,Hubei,2020/1/24,"2,216,700","31.71615,113.3712",,,,,,,,
Xiangyang,Hubei,2020/1/28,"5,669,000","32.04487,112.13555",,,,,,,,
Huangshi,Hubei,2020/1/24,"2,470,700","30.22286,115.06611",,,,,,,,
Yichang,Hubei,2020/1/24,"4,135,850","30.5307,111.43471",,,,,,,,
Jingmen,Hubei,2020/1/24,"2,896,500","31.05193,112.20158",,,,,,,,
Xianning,Hubei,2020/1/24,"2,543,300","29.85251,114.2984",,,,,,,,
Shiyan,Hubei,2020/1/24,"3,406,000","32.59175,110.81285",,,,,,,,
Xiantao,Hubei,2020/1/24,"1,140,500","30.36251,113.4545",,,,,,,,
Tianmen,Hubei,2020/1/24,"1,272,300","30.66339,113.16614",,,,,,,,
Enshi,Hubei,2020/1/24,"3,378,000","30.29504,109.47918",,,,,,,,
Qianjiang,Hubei,2020/1/24,"966,000","30.40147,112.8993",,,,,,,,
Shennongjia,Hubei,2020/1/27,"78,912","31.74452,110.67598",,,,,,,,
Wenzhou,Zhejiang,2020/2/2,"9,190,000","27.993876,120.711784",,,,,,,,
Ürümqi,Xinjiang,2020/7/18,"3,519,600","43.36378,88.31104",,,,,,,,
Shijiazhuang,Hebei,2021/1/7,"11,031,200","38.03647,114.53952",,,,,,,,
Xi'an,Shaanxi,2021/12/22,"8,467,838","34.23053,108.93425",,,,,,,,
Yuzhou,Henan,2022/1/4,"1,167,000","34.14048,113.48794",,,,,,,,
Anyang,Henan,2022/1/10,"5,477,614","36.10849,114.35511",,,,,,,,
Shenzhen,Guangdong,2022/3/14,"17,560,000","22.55329,113.88308",,,,,,,,
Shanghai,Shanghai,2022/4/1,"24,870,895","31.40527,121.48941",,,,,,,,
Yulin,Guangxi,2020/2/2,"900,000","22.57957,110.05125",,,,,,,,
Xuzhou,Jiangsu,2020/2/4,"8,577,225","34.28823,117.18554",,,,,,,,
Xianyang,Shaanxi,2020/2/6,"5,096,001","34.32908,108.70641",,,,,,,,
Taizhou,Zhejiang,2020/2/3,"5,968,838","28.659763,121.415869",,,,,,,,
Suifenhe,Heilongjiang,2020/4/8,"69,607","44.4132,131.15012",,,,,,,,
Ningbo,Zhejiang,2020/2/5,"8,202,000","29.879951,121.625987",,,,,,,,
Ngawa,Sichuan,2020/2/5,"930,100","31.8994,102.22477",,,,,,,,
Liuzhou,Guangxi,2020/2/5,"3,758,700","24.33941,109.44626",,,,,,,,
Jinzhou,Liaoning,2020/2/6,"3,070,000","41.11728,121.12834",,,,,,,,
Jingdezhen,Jiangxi,2020/2/4,"1,655,000","29.27324,117.18366",,,,,,,,
Huaibei,Anhui,2020/2/3,"2,114,276","33.99141,116.82803",,,,,,,,
Hefei,Anhui,2020/2/5,"7,965,300","31.79322,117.30794",,,,,,,,
Harbin,Heilongjiang,2020/2/4,"10,635,971","45.779725,126.597589",,,,,,,,
Hangzhou,Zhejiang,2020/2/4,"9,806,000","30.2084,120.21201",,,,,,,,
Hailing,Jiangsu,2020/2/5,"594,656","32.49098,119.91956",,,,,,,,
Guilin,Guangxi,2020/2/5,"4,961,600","25.245584,110.213213",,,,,,,,
Guigang,Guangxi,2020/2/2,"1,562,200","23.11084,109.57339",,,,,,,,
Garzê,Sichuan,2020/2/5,"1,164,900","30.04932,101.96254",,,,,,,,
Fuzhou,Fujian,2020/2/4,"7,660,000","26.04769,119.27345",,,,,,,,
Fuyang,Anhui,2020/2/5,"7,599,913","32.91303,115.85668",,,,,,,,
Fangchenggang,Guangxi,2020/2/2,"860,100","21.76913,108.35342",,,,,,,,
Binzhou,Shandong,2020/2/3,"682,717","37.42726,118.02279",,,,,,,,
Benxi,Liaoning,2020/2/5,"1,709,538","41.30877,123.81695",,,,,,,,
Bengbu,Anhui,2020/2/3,"3,164,467","32.94448,117.36779",,,,,,,,
Tianjin,Tianjin,2020/2/9,"799,057","39.100763,117.186407",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
